Month,Season,Budget,Temperature,Weather,Activity_Preference,Group_Size,Suggested_Place
July,Monsoon,Medium,23,Rainy,Family Trip,4,"Hampi, Karnataka"
August,Monsoon,Low,26,Rainy,Family Trip,10,"Tsomgo Lake, Sikkim"
September,Autumn,High,20,Mild,Cultural,4,Rann of Kutch
May,Summer,Medium,38,Hot,Adventure,4,Rishikesh
July,Monsoon,High,20,Rainy,Family Trip,8,Shillong
June,Monsoon,Medium,25,Rainy,Family Trip,8,Darjeeling
December,Winter,Medium,7,Cold,Adventure,10,Udaipur
June,Monsoon,High,30,Rainy,Family Trip,5,Kodaikanal
July,Monsoon,High,26,Rainy,Family Trip,1,Gulmarg
February,Winter,Low,1,Cold,Adventure,4,Kumili
April,Spring,High,30,Pleasant,Eco Tourism,10,"Darjeeling, West Bengal"
August,Monsoon,High,29,Rainy,Family Trip,7,Mussoorie
October,Autumn,Low,23,Mild,Cultural,4,"Darjeeling, West Bengal"
September,Autumn,Low,17,Mild,Cultural,6,"Pillar Rocks, Kodaikanal"
June,Monsoon,Low,26,Rainy,Family Trip,7,"Ooty, Tamil Nadu"
February,Winter,High,1,Cold,Adventure,7,"Elephant Falls, Shillong"
May,Summer,Low,30,Hot,Adventure,2,"Manali and Kullu, Himachal Pradesh"
June,Monsoon,High,30,Rainy,Family Trip,1,Mussoorie
November,Autumn,High,15,Mild,Cultural,10,"Pushkar, Rajasthan"
December,Winter,Medium,8,Cold,Adventure,8,"Manali and Kullu, Himachal Pradesh"
August,Monsoon,Medium,23,Rainy,Family Trip,3,Gulmarg
February,Winter,Low,-1,Cold,Adventure,4,Ooty
July,Monsoon,Low,28,Rainy,Family Trip,5,"Rann of Kutch, Gujarat"
February,Winter,High,-4,Cold,Adventure,6,"Elephant Falls, Shillong"
April,Spring,Medium,30,Pleasant,Eco Tourism,1,Udaipur
October,Autumn,High,21,Mild,Cultural,4,"Tsomgo Lake, Sikkim"
October,Autumn,High,24,Mild,Cultural,7,"Palolem Beach, Goa"
November,Autumn,High,19,Mild,Cultural,4,"Abbey Falls, Coorg"
July,Monsoon,High,27,Rainy,Family Trip,8,"Manali and Kullu, Himachal Pradesh"
May,Summer,Medium,32,Hot,Adventure,10,Dalhousie
January,Winter,Medium,-5,Cold,Adventure,7,"Ooty, Tamil Nadu"
December,Winter,High,12,Cold,Adventure,8,Mount Abu
February,Winter,Medium,9,Cold,Adventure,3,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
March,Spring,Low,20,Pleasant,Eco Tourism,6,"Leh-Ladakh, Jammu & Kashmir"
September,Autumn,Low,21,Mild,Cultural,7,"Kullu-Manali, Himachal Pradesh"
May,Summer,Low,29,Hot,Adventure,1,Goa
May,Summer,Medium,29,Hot,Adventure,1,Wayanad
March,Spring,High,18,Pleasant,Eco Tourism,1,Mount Abu
November,Autumn,Medium,17,Mild,Cultural,5,Leh & Ladakh
October,Autumn,Low,18,Mild,Cultural,6,Leh & Ladakh
April,Spring,High,26,Pleasant,Eco Tourism,6,Mount Abu
August,Monsoon,Low,29,Rainy,Family Trip,8,"Tsomgo Lake, Sikkim"
June,Monsoon,High,23,Rainy,Family Trip,3,"Wayanad, Alleppey - Kerala"
April,Spring,Medium,17,Pleasant,Eco Tourism,3,Coorg
October,Autumn,Low,20,Mild,Cultural,5,Leh & Ladakh
August,Monsoon,High,27,Rainy,Family Trip,10,Mussoorie
May,Summer,Medium,31,Hot,Adventure,2,Kullu
September,Autumn,Low,17,Mild,Cultural,3,"Elephant Falls, Shillong"
November,Autumn,Medium,17,Mild,Cultural,5,Kodaikanal
March,Spring,High,16,Pleasant,Eco Tourism,1,"Valley of Flowers, Uttarakhand"
February,Winter,High,1,Cold,Adventure,2,Wayanad
February,Winter,Medium,8,Cold,Adventure,4,Darjeeling
July,Monsoon,High,25,Rainy,Family Trip,4,"Ooty, Tamil Nadu"
October,Autumn,Medium,16,Mild,Cultural,8,Goa
March,Spring,Low,23,Pleasant,Eco Tourism,6,"Rann of Kutch, Gujarat"
January,Winter,High,9,Cold,Adventure,5,"Kullu-Manali, Himachal Pradesh"
May,Summer,Medium,29,Hot,Adventure,2,"Ooty, Tamil Nadu"
November,Autumn,Low,23,Mild,Cultural,10,"Palolem Beach, Goa"
April,Spring,High,15,Pleasant,Eco Tourism,4,Munnar
June,Monsoon,Medium,20,Rainy,Family Trip,6,Mount Abu
June,Monsoon,High,24,Rainy,Family Trip,1,"Bhushi Dam, Lonavala"
January,Winter,High,10,Cold,Adventure,10,"Darjeeling, Kalimpong - West Bengal"
April,Spring,Low,30,Pleasant,Eco Tourism,6,"Nohkalikai Falls, Cherrapunji"
October,Autumn,High,22,Mild,Cultural,10,Mount Abu
December,Winter,Low,2,Cold,Adventure,4,"Wayanad, Kerala"
July,Monsoon,Medium,24,Rainy,Family Trip,5,"Manali and Kullu, Himachal Pradesh"
August,Monsoon,High,24,Rainy,Family Trip,6,"Bhushi Dam, Lonavala"
September,Autumn,Medium,21,Mild,Cultural,7,Leh & Ladakh
May,Summer,High,36,Hot,Adventure,2,Shillong
April,Spring,Medium,28,Pleasant,Eco Tourism,5,Ooty
June,Monsoon,Low,30,Rainy,Family Trip,1,Rann of Kutch
September,Autumn,Medium,22,Mild,Cultural,6,Munnar
July,Monsoon,Low,22,Rainy,Family Trip,9,Wayanad
September,Autumn,High,18,Mild,Cultural,4,Udaipur
March,Spring,Low,30,Pleasant,Eco Tourism,2,"Sunset Viewpoint, Agumbe"
September,Autumn,High,22,Mild,Cultural,1,"Valley of Flowers, Uttarakhand"
April,Spring,Low,30,Pleasant,Eco Tourism,4,"Ooty, Tamil Nadu"
August,Monsoon,Medium,29,Rainy,Family Trip,5,Dalhousie
March,Spring,Medium,15,Pleasant,Eco Tourism,5,"Nohkalikai Falls, Cherrapunji"
August,Monsoon,Medium,21,Rainy,Family Trip,1,"Hampi, Karnataka"
May,Summer,Medium,35,Hot,Adventure,4,Mount Abu
December,Winter,High,1,Cold,Adventure,1,"Pillar Rocks, Kodaikanal"
May,Summer,Medium,31,Hot,Adventure,3,"Tsomgo Lake, Sikkim"
March,Spring,Low,18,Pleasant,Eco Tourism,1,"Leh-Ladakh, Jammu & Kashmir"
September,Autumn,Medium,23,Mild,Cultural,5,"Palolem Beach, Goa"
February,Winter,Low,-2,Cold,Adventure,3,"Bhushi Dam, Lonavala"
February,Winter,Medium,8,Cold,Adventure,6,Jaisalmer
August,Monsoon,High,28,Rainy,Family Trip,5,"Nilgiris Tiger Reserves, Karnataka"
February,Winter,Low,3,Cold,Adventure,7,"Nilgiris Tiger Reserves, Karnataka"
August,Monsoon,High,20,Rainy,Family Trip,7,"Kullu-Manali, Himachal Pradesh"
June,Monsoon,Medium,24,Rainy,Family Trip,9,Kullu
January,Winter,Medium,1,Cold,Adventure,9,"Wayanad, Kerala"
April,Spring,Medium,16,Pleasant,Eco Tourism,3,Rann of Kutch
August,Monsoon,Low,22,Rainy,Family Trip,3,"Nohkalikai Falls, Cherrapunji"
June,Monsoon,High,25,Rainy,Family Trip,3,Idukki
September,Autumn,High,18,Mild,Cultural,3,"Darjeeling, Kalimpong - West Bengal"
February,Winter,Medium,6,Cold,Adventure,2,"Wayanad, Alleppey - Kerala"
March,Spring,Low,16,Pleasant,Eco Tourism,1,"Tsomgo Lake, Sikkim"
May,Summer,Low,35,Hot,Adventure,1,Jammu-Kashmir
June,Monsoon,High,29,Rainy,Family Trip,4,"Ooty, Tamil Nadu"
August,Monsoon,High,28,Rainy,Family Trip,1,"Kullu-Manali, Himachal Pradesh"
February,Winter,High,5,Cold,Adventure,9,Udaipur
May,Summer,Medium,36,Hot,Adventure,8,Mount Abu
November,Autumn,High,22,Mild,Cultural,8,"Hampi, Karnataka"
August,Monsoon,Low,20,Rainy,Family Trip,8,Kumili
September,Autumn,Low,18,Mild,Cultural,7,"Kullu-Manali, Himachal Pradesh"
March,Spring,High,22,Pleasant,Eco Tourism,2,"Kullu-Manali, Himachal Pradesh"
February,Winter,Low,-1,Cold,Adventure,5,"Amber Palace, Jaipur"
February,Winter,Low,-1,Cold,Adventure,3,Gangtok
August,Monsoon,Low,28,Rainy,Family Trip,8,Idukki
July,Monsoon,Low,20,Rainy,Family Trip,8,Rann of Kutch
August,Monsoon,High,23,Rainy,Family Trip,5,"Manali and Kullu, Himachal Pradesh"
March,Spring,High,19,Pleasant,Eco Tourism,2,"Hampi, Karnataka"
July,Monsoon,Low,23,Rainy,Family Trip,7,"Pushkar, Rajasthan"
January,Winter,Medium,-1,Cold,Adventure,7,Shimla
February,Winter,Low,-3,Cold,Adventure,6,"Sunset Viewpoint, Agumbe"
September,Autumn,Low,17,Mild,Cultural,5,"Manali and Kullu, Himachal Pradesh"
August,Monsoon,Medium,30,Rainy,Family Trip,6,Kumili
July,Monsoon,High,26,Rainy,Family Trip,1,"Pillar Rocks, Kodaikanal"
March,Spring,High,17,Pleasant,Eco Tourism,8,"Ooty, Tamil Nadu"
January,Winter,Medium,8,Cold,Adventure,8,"Ooty, Tamil Nadu"
August,Monsoon,Medium,28,Rainy,Family Trip,2,Mount Abu
June,Monsoon,Low,29,Rainy,Family Trip,8,Rishikesh
September,Autumn,Medium,25,Mild,Cultural,5,"Hampi, Karnataka"
July,Monsoon,Medium,29,Rainy,Family Trip,1,"Nilgiris Tiger Reserves, Karnataka"
April,Spring,Low,28,Pleasant,Eco Tourism,9,"Elephant Falls, Shillong"
June,Monsoon,High,23,Rainy,Family Trip,1,Rann of Kutch
April,Spring,High,26,Pleasant,Eco Tourism,1,"Wayanad, Alleppey - Kerala"
March,Spring,Medium,15,Pleasant,Eco Tourism,9,"Mahabaleshwar, Maharashtra"
November,Autumn,High,25,Mild,Cultural,3,"Elephant Falls, Shillong"
September,Autumn,High,18,Mild,Cultural,10,"Nohkalikai Falls, Cherrapunji"
January,Winter,Low,6,Cold,Adventure,4,"Manali and Kullu, Himachal Pradesh"
February,Winter,Low,14,Cold,Adventure,7,"Mahabaleshwar, Maharashtra"
January,Winter,Low,2,Cold,Adventure,3,"Sunset Viewpoint, Agumbe"
March,Spring,Low,19,Pleasant,Eco Tourism,4,"Tsomgo Lake, Sikkim"
February,Winter,High,11,Cold,Adventure,1,Wayanad
February,Winter,Medium,-1,Cold,Adventure,1,Gangtok
January,Winter,Low,-1,Cold,Adventure,4,Darjeeling
March,Spring,Medium,27,Pleasant,Eco Tourism,3,Gangtok
September,Autumn,High,24,Mild,Cultural,10,"Mahabaleshwar, Maharashtra"
May,Summer,High,26,Hot,Adventure,4,Gangtok
March,Spring,High,21,Pleasant,Eco Tourism,3,"Amber Palace, Jaipur"
September,Autumn,High,20,Mild,Cultural,9,Kodaikanal
April,Spring,Medium,17,Pleasant,Eco Tourism,1,Kodaikanal
August,Monsoon,High,25,Rainy,Family Trip,6,Rishikesh
December,Winter,Low,8,Cold,Adventure,6,"Valley of Flowers, Uttarakhand"
September,Autumn,Low,25,Mild,Cultural,6,Goa
March,Spring,High,17,Pleasant,Eco Tourism,1,"Attukal Waterfalls, Munnar"
February,Winter,Low,0,Cold,Adventure,1,Kumili
May,Summer,High,39,Hot,Adventure,9,Idukki
December,Winter,Low,5,Cold,Adventure,2,Shimla
May,Summer,High,25,Hot,Adventure,4,Wayanad
October,Autumn,Low,25,Mild,Cultural,3,"Kullu-Manali, Himachal Pradesh"
April,Spring,High,18,Pleasant,Eco Tourism,1,"Hampi, Karnataka"
February,Winter,Medium,6,Cold,Adventure,8,Jammu-Kashmir
January,Winter,High,-4,Cold,Adventure,3,"Wayanad, Alleppey - Kerala"
December,Winter,Low,5,Cold,Adventure,7,"Palolem Beach, Goa"
November,Autumn,High,15,Mild,Cultural,7,"Bhushi Dam, Lonavala"
July,Monsoon,Medium,25,Rainy,Family Trip,8,Wayanad
May,Summer,High,32,Hot,Adventure,4,"Bhushi Dam, Lonavala"
January,Winter,Low,6,Cold,Adventure,1,Coorg
September,Autumn,High,19,Mild,Cultural,4,"Attukal Waterfalls, Munnar"
November,Autumn,High,25,Mild,Cultural,10,Shimla
February,Winter,Medium,-1,Cold,Adventure,7,"Rann of Kutch, Gujarat"
July,Monsoon,High,25,Rainy,Family Trip,9,Mussoorie
November,Autumn,High,23,Mild,Cultural,6,"Rann of Kutch, Gujarat"
May,Summer,Medium,40,Hot,Adventure,7,"Palolem Beach, Goa"
July,Monsoon,Low,26,Rainy,Family Trip,5,Kumili
June,Monsoon,Low,20,Rainy,Family Trip,4,Tawang
October,Autumn,High,15,Mild,Cultural,6,"Sunset Viewpoint, Agumbe"
March,Spring,Medium,18,Pleasant,Eco Tourism,6,Gulmarg
May,Summer,Medium,32,Hot,Adventure,3,Gulmarg
April,Spring,Medium,26,Pleasant,Eco Tourism,9,"Sunset Viewpoint, Agumbe"
August,Monsoon,Low,27,Rainy,Family Trip,7,Mussoorie
February,Winter,High,13,Cold,Adventure,4,Gangtok
August,Monsoon,High,22,Rainy,Family Trip,7,"Sunset Viewpoint, Agumbe"
October,Autumn,Medium,25,Mild,Cultural,8,Darjeeling
September,Autumn,Low,16,Mild,Cultural,5,Shimla
July,Monsoon,High,23,Rainy,Family Trip,8,Kodaikanal
December,Winter,High,2,Cold,Adventure,9,"Wayanad, Kerala"
May,Summer,Low,25,Hot,Adventure,1,"Valley of Flowers, Uttarakhand"
September,Autumn,Low,20,Mild,Cultural,3,Udaipur
February,Winter,Low,-5,Cold,Adventure,10,"Abbey Falls, Coorg"
October,Autumn,Low,23,Mild,Cultural,9,Tawang
August,Monsoon,Medium,25,Rainy,Family Trip,8,Kullu
June,Monsoon,High,25,Rainy,Family Trip,4,Shimla
February,Winter,Medium,6,Cold,Adventure,1,"Tsomgo Lake, Sikkim"
January,Winter,Low,13,Cold,Adventure,4,Wayanad
January,Winter,High,6,Cold,Adventure,4,"Pushkar, Rajasthan"
March,Spring,High,16,Pleasant,Eco Tourism,8,Munnar
February,Winter,Medium,-1,Cold,Adventure,9,"Manali and Kullu, Himachal Pradesh"
June,Monsoon,Medium,20,Rainy,Family Trip,2,"Kullu-Manali, Himachal Pradesh"
July,Monsoon,High,23,Rainy,Family Trip,7,"Elephant Falls, Shillong"
May,Summer,Medium,33,Hot,Adventure,9,"Wayanad, Alleppey - Kerala"
April,Spring,Low,18,Pleasant,Eco Tourism,9,Rishikesh
August,Monsoon,Medium,20,Rainy,Family Trip,9,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
January,Winter,Medium,14,Cold,Adventure,1,Shimla
January,Winter,Low,15,Cold,Adventure,9,"Nilgiris Tiger Reserves, Karnataka"
June,Monsoon,High,22,Rainy,Family Trip,5,"Kullu-Manali, Himachal Pradesh"
July,Monsoon,Medium,24,Rainy,Family Trip,4,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
December,Winter,Low,4,Cold,Adventure,7,Kodaikanal
November,Autumn,Medium,21,Mild,Cultural,1,"Wayanad, Alleppey - Kerala"
February,Winter,Medium,0,Cold,Adventure,10,Jaisalmer
April,Spring,Medium,18,Pleasant,Eco Tourism,7,Mount Abu
June,Monsoon,High,24,Rainy,Family Trip,5,"Wayanad, Alleppey - Kerala"
August,Monsoon,High,29,Rainy,Family Trip,3,"Pillar Rocks, Kodaikanal"
June,Monsoon,Low,30,Rainy,Family Trip,10,Jammu-Kashmir
October,Autumn,High,15,Mild,Cultural,4,"Hampi, Karnataka"
July,Monsoon,Low,21,Rainy,Family Trip,2,"Leh-Ladakh, Jammu & Kashmir"
January,Winter,Low,-4,Cold,Adventure,3,Auli
April,Spring,Medium,21,Pleasant,Eco Tourism,3,"Elephant Falls, Shillong"
June,Monsoon,Medium,25,Rainy,Family Trip,3,"Bhushi Dam, Lonavala"
June,Monsoon,Low,27,Rainy,Family Trip,2,"Tsomgo Lake, Sikkim"
September,Autumn,Low,18,Mild,Cultural,2,Leh & Ladakh
July,Monsoon,Low,28,Rainy,Family Trip,7,Kullu
September,Autumn,Low,19,Mild,Cultural,10,Munnar
June,Monsoon,Low,20,Rainy,Family Trip,10,Kullu
October,Autumn,Low,23,Mild,Cultural,6,"Hampi, Karnataka"
August,Monsoon,Low,25,Rainy,Family Trip,4,Auli
December,Winter,High,14,Cold,Adventure,4,Shimla
December,Winter,High,12,Cold,Adventure,2,Munnar
July,Monsoon,Medium,27,Rainy,Family Trip,7,Rishikesh
August,Monsoon,High,26,Rainy,Family Trip,4,"Kullu-Manali, Himachal Pradesh"
February,Winter,High,-4,Cold,Adventure,8,Dalhousie
March,Spring,High,29,Pleasant,Eco Tourism,1,"Darjeeling, West Bengal"
January,Winter,Medium,7,Cold,Adventure,1,Dalhousie
November,Autumn,Medium,20,Mild,Cultural,1,Rann of Kutch
July,Monsoon,High,20,Rainy,Family Trip,6,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
October,Autumn,Medium,15,Mild,Cultural,1,"Bhushi Dam, Lonavala"
January,Winter,High,-1,Cold,Adventure,2,Shimla
December,Winter,High,0,Cold,Adventure,9,"Valley of Flowers, Uttarakhand"
January,Winter,High,-3,Cold,Adventure,8,"Bhushi Dam, Lonavala"
March,Spring,Medium,19,Pleasant,Eco Tourism,10,Goa
February,Winter,Medium,14,Cold,Adventure,10,"Bhushi Dam, Lonavala"
July,Monsoon,Low,28,Rainy,Family Trip,7,Shimla
April,Spring,Low,22,Pleasant,Eco Tourism,8,"Attukal Waterfalls, Munnar"
September,Autumn,Low,23,Mild,Cultural,10,"Pillar Rocks, Kodaikanal"
January,Winter,Low,-3,Cold,Adventure,1,Rishikesh
April,Spring,High,16,Pleasant,Eco Tourism,9,"Kullu-Manali, Himachal Pradesh"
November,Autumn,High,24,Mild,Cultural,4,"Darjeeling, West Bengal"
February,Winter,Medium,-1,Cold,Adventure,7,Jaisalmer
June,Monsoon,Low,24,Rainy,Family Trip,10,"Tsomgo Lake, Sikkim"
November,Autumn,Medium,25,Mild,Cultural,10,"Wayanad, Alleppey - Kerala"
June,Monsoon,High,24,Rainy,Family Trip,4,"Elephant Falls, Shillong"
January,Winter,Low,-4,Cold,Adventure,3,Udaipur
September,Autumn,Medium,19,Mild,Cultural,8,"Darjeeling, Kalimpong - West Bengal"
September,Autumn,Low,25,Mild,Cultural,3,Darjeeling
July,Monsoon,Medium,22,Rainy,Family Trip,10,"Tsomgo Lake, Sikkim"
September,Autumn,High,20,Mild,Cultural,2,Wayanad
March,Spring,Medium,22,Pleasant,Eco Tourism,4,"Nohkalikai Falls, Cherrapunji"
December,Winter,Low,7,Cold,Adventure,8,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
January,Winter,Low,-3,Cold,Adventure,2,Gangtok
April,Spring,Low,17,Pleasant,Eco Tourism,9,"Palolem Beach, Goa"
August,Monsoon,Low,29,Rainy,Family Trip,7,Jaisalmer
April,Spring,High,29,Pleasant,Eco Tourism,3,"Abbey Falls, Coorg"
January,Winter,High,3,Cold,Adventure,6,"Bhushi Dam, Lonavala"
June,Monsoon,Low,24,Rainy,Family Trip,2,Goa
April,Spring,Low,18,Pleasant,Eco Tourism,2,"Kullu-Manali, Himachal Pradesh"
November,Autumn,High,20,Mild,Cultural,9,Auli
January,Winter,Medium,1,Cold,Adventure,9,"Nilgiris Tiger Reserves, Karnataka"
May,Summer,Low,36,Hot,Adventure,3,"Wayanad, Alleppey - Kerala"
August,Monsoon,High,29,Rainy,Family Trip,3,Idukki
August,Monsoon,High,30,Rainy,Family Trip,6,Kodaikanal
October,Autumn,Low,20,Mild,Cultural,3,"Bhushi Dam, Lonavala"
April,Spring,Medium,18,Pleasant,Eco Tourism,2,Tawang
January,Winter,High,9,Cold,Adventure,10,"Pillar Rocks, Kodaikanal"
February,Winter,High,7,Cold,Adventure,8,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
July,Monsoon,Medium,29,Rainy,Family Trip,10,Darjeeling
December,Winter,Low,-5,Cold,Adventure,3,"Bhushi Dam, Lonavala"
January,Winter,Low,1,Cold,Adventure,6,"Darjeeling, Kalimpong - West Bengal"
July,Monsoon,High,26,Rainy,Family Trip,5,"Nohkalikai Falls, Cherrapunji"
June,Monsoon,High,27,Rainy,Family Trip,7,"Sunset Viewpoint, Agumbe"
September,Autumn,Medium,25,Mild,Cultural,5,"Rann of Kutch, Gujarat"
June,Monsoon,High,26,Rainy,Family Trip,10,Tawang
January,Winter,Medium,4,Cold,Adventure,2,Rishikesh
February,Winter,Medium,5,Cold,Adventure,4,Goa
March,Spring,Medium,15,Pleasant,Eco Tourism,6,"Kullu-Manali, Himachal Pradesh"
May,Summer,Medium,34,Hot,Adventure,2,"Tsomgo Lake, Sikkim"
January,Winter,Medium,0,Cold,Adventure,1,"Elephant Falls, Shillong"
August,Monsoon,Low,20,Rainy,Family Trip,5,Mount Abu
May,Summer,Low,29,Hot,Adventure,9,"Nohkalikai Falls, Cherrapunji"
June,Monsoon,Low,27,Rainy,Family Trip,3,"Pushkar, Rajasthan"
August,Monsoon,Low,20,Rainy,Family Trip,9,Jaisalmer
February,Winter,High,10,Cold,Adventure,5,Ooty
September,Autumn,Low,18,Mild,Cultural,2,"Attukal Waterfalls, Munnar"
December,Winter,Medium,9,Cold,Adventure,2,Kumili
April,Spring,Low,21,Pleasant,Eco Tourism,5,"Hampi, Karnataka"
February,Winter,High,-1,Cold,Adventure,1,Tawang
February,Winter,High,13,Cold,Adventure,4,Idukki
May,Summer,Low,38,Hot,Adventure,9,Wayanad
February,Winter,High,12,Cold,Adventure,5,Jammu-Kashmir
October,Autumn,High,18,Mild,Cultural,2,Gangtok
March,Spring,Low,20,Pleasant,Eco Tourism,6,"Hampi, Karnataka"
September,Autumn,High,16,Mild,Cultural,8,"Rann of Kutch, Gujarat"
January,Winter,Low,-3,Cold,Adventure,3,"Kullu-Manali, Himachal Pradesh"
January,Winter,Medium,1,Cold,Adventure,8,Shillong
February,Winter,Low,7,Cold,Adventure,8,Rann of Kutch
July,Monsoon,Medium,25,Rainy,Family Trip,8,Udaipur
July,Monsoon,High,24,Rainy,Family Trip,5,Kullu
January,Winter,High,11,Cold,Adventure,1,"Darjeeling, West Bengal"
December,Winter,Low,12,Cold,Adventure,3,"Pushkar, Rajasthan"
February,Winter,Low,5,Cold,Adventure,6,"Kullu-Manali, Himachal Pradesh"
August,Monsoon,Medium,22,Rainy,Family Trip,3,Jammu-Kashmir
April,Spring,Medium,21,Pleasant,Eco Tourism,7,"Manali and Kullu, Himachal Pradesh"
September,Autumn,Medium,24,Mild,Cultural,7,"Mahabaleshwar, Maharashtra"
December,Winter,Medium,1,Cold,Adventure,2,"Valley of Flowers, Uttarakhand"
August,Monsoon,Low,25,Rainy,Family Trip,6,Jammu-Kashmir
July,Monsoon,Low,25,Rainy,Family Trip,7,Tawang
April,Spring,Medium,28,Pleasant,Eco Tourism,1,"Nohkalikai Falls, Cherrapunji"
August,Monsoon,Medium,29,Rainy,Family Trip,2,"Sunset Viewpoint, Agumbe"
September,Autumn,Medium,25,Mild,Cultural,4,Gulmarg
January,Winter,Low,-4,Cold,Adventure,1,"Rann of Kutch, Gujarat"
April,Spring,Medium,18,Pleasant,Eco Tourism,6,"Nilgiris Tiger Reserves, Karnataka"
July,Monsoon,Low,26,Rainy,Family Trip,4,Coorg
October,Autumn,Medium,20,Mild,Cultural,10,"Valley of Flowers, Uttarakhand"
September,Autumn,Low,16,Mild,Cultural,7,"Tsomgo Lake, Sikkim"
December,Winter,Medium,8,Cold,Adventure,7,Coorg
July,Monsoon,Medium,28,Rainy,Family Trip,3,"Kullu-Manali, Himachal Pradesh"
January,Winter,Low,-5,Cold,Adventure,1,"Kullu-Manali, Himachal Pradesh"
November,Autumn,Medium,16,Mild,Cultural,7,"Ooty, Tamil Nadu"
October,Autumn,High,15,Mild,Cultural,8,Gangtok
June,Monsoon,Medium,20,Rainy,Family Trip,9,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
January,Winter,Low,3,Cold,Adventure,5,"Rann of Kutch, Gujarat"
January,Winter,High,-3,Cold,Adventure,7,"Valley of Flowers, Uttarakhand"
August,Monsoon,Medium,24,Rainy,Family Trip,1,"Hampi, Karnataka"
May,Summer,Medium,38,Hot,Adventure,8,Darjeeling
March,Spring,Low,20,Pleasant,Eco Tourism,6,Kullu
May,Summer,Low,36,Hot,Adventure,8,"Darjeeling, West Bengal"
September,Autumn,Medium,17,Mild,Cultural,9,"Pillar Rocks, Kodaikanal"
June,Monsoon,High,27,Rainy,Family Trip,5,Tawang
November,Autumn,Medium,19,Mild,Cultural,10,"Wayanad, Alleppey - Kerala"
March,Spring,Medium,29,Pleasant,Eco Tourism,2,Tawang
January,Winter,High,-5,Cold,Adventure,1,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
September,Autumn,High,21,Mild,Cultural,2,"Darjeeling, Kalimpong - West Bengal"
April,Spring,High,21,Pleasant,Eco Tourism,5,"Pillar Rocks, Kodaikanal"
July,Monsoon,High,22,Rainy,Family Trip,8,Shillong
December,Winter,Medium,14,Cold,Adventure,3,"Ooty, Tamil Nadu"
June,Monsoon,Medium,20,Rainy,Family Trip,6,"Ooty, Tamil Nadu"
December,Winter,High,-5,Cold,Adventure,7,"Bhushi Dam, Lonavala"
December,Winter,Medium,-1,Cold,Adventure,10,Udaipur
February,Winter,Medium,2,Cold,Adventure,9,Ooty
July,Monsoon,Low,29,Rainy,Family Trip,10,Jaisalmer
May,Summer,High,33,Hot,Adventure,2,Tawang
August,Monsoon,Medium,28,Rainy,Family Trip,1,Gulmarg
July,Monsoon,High,27,Rainy,Family Trip,10,"Nilgiris Tiger Reserves, Karnataka"
September,Autumn,Low,22,Mild,Cultural,4,Jammu-Kashmir
December,Winter,Low,3,Cold,Adventure,6,"Hampi, Karnataka"
December,Winter,Medium,5,Cold,Adventure,7,Darjeeling
November,Autumn,Low,18,Mild,Cultural,3,"Attukal Waterfalls, Munnar"
February,Winter,High,11,Cold,Adventure,8,Jaisalmer
December,Winter,Low,6,Cold,Adventure,9,"Sunset Viewpoint, Agumbe"
January,Winter,Low,6,Cold,Adventure,4,Munnar
January,Winter,High,14,Cold,Adventure,10,Idukki
May,Summer,High,26,Hot,Adventure,10,"Wayanad, Alleppey - Kerala"
May,Summer,Low,34,Hot,Adventure,5,Rishikesh
March,Spring,Medium,20,Pleasant,Eco Tourism,7,"Mahabaleshwar, Maharashtra"
April,Spring,Medium,25,Pleasant,Eco Tourism,2,Auli
October,Autumn,Low,24,Mild,Cultural,9,Auli
May,Summer,High,38,Hot,Adventure,1,Leh & Ladakh
December,Winter,Low,6,Cold,Adventure,2,Coorg
June,Monsoon,Medium,20,Rainy,Family Trip,4,Tawang
April,Spring,High,30,Pleasant,Eco Tourism,5,Udaipur
March,Spring,Medium,30,Pleasant,Eco Tourism,8,"Ooty, Tamil Nadu"
April,Spring,Low,25,Pleasant,Eco Tourism,4,"Tsomgo Lake, Sikkim"
September,Autumn,High,16,Mild,Cultural,1,"Hampi, Karnataka"
August,Monsoon,Low,24,Rainy,Family Trip,6,"Sunset Viewpoint, Agumbe"
March,Spring,Medium,23,Pleasant,Eco Tourism,9,"Hampi, Karnataka"
August,Monsoon,High,25,Rainy,Family Trip,7,Wayanad
August,Monsoon,Low,23,Rainy,Family Trip,2,Darjeeling
January,Winter,High,2,Cold,Adventure,10,Rann of Kutch
March,Spring,Low,26,Pleasant,Eco Tourism,10,"Abbey Falls, Coorg"
July,Monsoon,Low,26,Rainy,Family Trip,8,Coorg
October,Autumn,Medium,17,Mild,Cultural,2,"Hampi, Karnataka"
February,Winter,High,0,Cold,Adventure,9,"Nohkalikai Falls, Cherrapunji"
April,Spring,Low,22,Pleasant,Eco Tourism,4,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
